topic_id,topic_name,onhot_duration,hot_value,record_time
265,全国有5个高风险47个中风险,68,908679,"2021-7-28 23:59"
266,南京开展第3轮全员核酸检测,32,518551,"2021-7-29 08:45"
267,北京新增京外关联本地确诊1例,71,1036712,"2021-7-29 09:34"
268,扬州新增2例本土病例,35,706727,"2021-7-29 09:43"
269,江苏新增本土确诊20例,49,709768,"2021-7-29 09:46"
27,德尔塔变异毒株有多毒,19,239079,"2021-6-24 23:59"
270,南京新增本土确诊18例,104,1423358,"2021-7-29 10:39"
271,长沙新增1例核酸阳性者,103,1519546,"2021-7-29 11:30"
272,南京第九场新冠肺炎疫情防控新闻发布会,31,781255,"2021-7-29 11:33"
273,南京疫情已有7例重型患者,133,1987215,"2021-7-29 11:57"
274,成都本轮疫情病例关系图,31,1128811,"2021-7-29 12:05"
275,南京7例重症患者病情尚平稳,29,1095612,"2021-7-29 12:13"
276,南京3密接者曾在北京乘火车地铁,29,1116323,"2021-7-29 12:15"
277,北京疫情1,207,1230123,"2021-7-29 12:16"
278,南京累计报告173例感染者,29,1093196,"2021-7-29 12:19"
279,南京7天确诊超150例,29,1103564,"2021-7-29 12:20"
28,广州阿姨解封后立即回乡吃荔枝,14,236883,"2021-6-24 23:59"
280,奥运相关人员新增新冠确诊病例24例,29,1012622,"2021-7-29 12:36"
281,四川健康码熊猫戴口罩了,49,1135593,"2021-7-29 12:39"
282,苏康码崩了,127,1739395,"2021-7-29 12:47"
283,成都市民连夜排队核酸检测,28,1335237,"2021-7-29 12:48"
284,南京核酸采样涉疫医废日产日清,30,1336099,"2021-7-29 12:51"
285,扬州2例南京关联病例活动轨迹,31,1284749,"2021-7-29 13:44"
286,31省区市新增本土确诊24例,32,1034890,"2021-7-29 14:10"
287,南京高风险地区核酸采取1比1单检,31,1027825,"2021-7-29 14:39"
288,淮安4名核酸阳性人员活动轨迹,48,1041970,"2021-7-29 14:54"
289,南京防疫工作进入关键时期,68,1014780,"2021-7-29 15:01"
29,兰州疫情,10,191649,"2021-6-25 00:14"
290,南京疫情已关联6省13市,33,774220,"2021-7-29 15:23"
291,北京新增2例京外关联本土确诊,52,835859,"2021-7-29 15:40"
292,全国新冠疫苗接种剂次超16亿,33,796957,"2021-7-29 16:00"
293,南京回应疫情期间物价上涨问题,54,720102,"2021-7-29 16:57"
294,北京初步判断确诊密接654人,106,844127,"2021-7-29 16:59"
295,成都一确诊病例密接遂宁活动轨迹,105,1325790,"2021-7-29 17:00"
296,北京确诊病例曾乘坐地铁9号线4号线13号线,128,1192180,"2021-7-29 17:19"
297,南京市民出现这些症状请规范就诊,47,629184,"2021-7-29 17:47"
298,东京都新增确诊3865例,31,511666,"2021-7-29 18:18"
299,张家界确诊1例本土病例,83,936335,"2021-7-29 19:04"
3,广东疫情,527,263699,"2021-6-22 08:46"
30,中国医生,54,306054,"2021-6-25 13:29"
300,北京新增2例确诊为夫妻,28,612225,"2021-7-29 19:47"
301,中国向世界提供疫苗超7亿剂,31,487608,"2021-7-29 20:01"
302,张家界疫情防控新闻发布会,33,734945,"2021-7-29 21:01"
303,张家界关联病例已超10例,31,726191,"2021-7-29 21:20"
304,我国新冠疫苗接种数据看燃了,64,800039,"2021-7-29 21:54"
305,本土感染者平均在张家界停留5天,32,604223,"2021-7-29 22:25"
306,北京昌平已核酸采样超3.8万人,31,571755,"2021-7-29 23:21"
307,成都高新12万余人核酸采样完成,30,517614,"2021-7-29 23:35"
308,本轮疫情或已形成南京张家界传播双中心,124,3461379,"2021-7-29 23:59"
309,北京确诊病例业主群内给邻居们道歉,46,1947702,"2021-7-29 23:59"
31,HPV疫苗是如何起作用的,197,925562,"2021-6-25 15:00"
310,30日起离开株洲须24小时内核酸阴性,39,500822,"2021-7-30 08:44"
311,成都一装修师傅滞留封闭小区后,525,735196,"2021-7-30 08:46"
312,云南新增境外输入确诊21例,32,543317,"2021-7-30 09:05"
313,株洲2例阳性曾与成都确诊同乘游船,31,507978,"2021-7-30 09:15"
314,31省区市新增本土确诊21例,31,560521,"2021-7-30 09:25"
315,淮安新增本土确诊1例,31,606589,"2021-7-30 09:44"
316,南京新增本土确诊13例,32,573880,"2021-7-30 10:20"
317,南京累计报告本土确诊184例,30,556150,"2021-7-30 10:22"
318,株洲2名无症状感染者活动轨迹,30,538612,"2021-7-30 10:27"
319,扬州新增4例本土确诊,100,738715,"2021-7-30 10:45"
32,印度数百人在假接种点被注射不明物质,159,541429,"2021-6-25 23:14"
320,江苏新增本土确诊18例,115,1418665,"2021-7-30 10:47"
321,长沙张家界各新增1例确诊,62,635156,"2021-7-30 10:49"
322,疫苗对德尔塔病毒仍有防范作用,31,630699,"2021-7-30 10:53"
323,湖南益阳发现1例新冠阳性,30,601606,"2021-7-30 11:00"
324,借疫情甩锅推责的政治病毒也需要溯源,39,604836,"2021-7-30 11:09"
325,湖南新增无症状感染者5例,43,606008,"2021-7-30 11:12"
326,重庆新增2例本土确诊,105,1089825,"2021-7-30 11:21"
327,湖南疫情,94,996246,"2021-7-30 11:22"
328,北京请市民近期尽量减少出京,91,969772,"2021-7-30 11:32"
329,南京本轮疫情为同一个传播链,32,783095,"2021-7-30 12:09"
33,我国超6.3亿人接种新冠疫苗,129,3426646,"2021-6-25 23:59"
330,北京2例确诊在长沙买茶颜悦色,206,6404540,"2021-7-30 12:26"
331,厦门通报4人核酸阳性,116,1453123,"2021-7-30 12:34"
332,南京禄口机场暂停国内国际航线,64,787111,"2021-7-30 12:39"
333,扬州4例南京关联确诊病例轨迹,32,827964,"2021-7-30 12:41"
334,南京疫情源头是俄罗斯入境航班,175,2830275,"2021-7-30 14:38"
335,南京疫情传播链增至226人,51,791018,"2021-7-30 15:41"
336,坚决防止疫情通过出入境渠道传播,31,807204,"2021-7-30 16:01"
337,德尔塔毒株无接触14秒即可感染,189,2425481,"2021-7-30 16:14"
338,所有在株人员非必要不离开株洲,32,838345,"2021-7-30 16:33"
339,国产新冠疫苗对德尔塔毒株仍有效,33,856752,"2021-7-30 16:34"
34,广东连续4天无新增本土确诊,153,485256,"2021-6-26 10:51"
340,湖南新增1例确诊曾接触江苏旅游团,33,843829,"2021-7-30 17:51"
341,网传杭州拱墅区出现新冠疫情系谣言,32,698443,"2021-7-30 17:52"
342,辽宁沈阳新增1例本土确诊,32,617545,"2021-7-30 20:38"
343,厦门启动三级应急响应,34,766970,"2021-7-30 20:59"
344,厦门一小区被列为中风险地区,37,614579,"2021-7-30 21:13"
345,株洲新增6例无症状都曾去过湘江欢乐城,89,1383664,"2021-7-30 21:14"
346,厦门疫情防控新闻发布会,32,464288,"2021-7-30 21:33"
347,全球新冠感染人数将达2亿,37,566551,"2021-7-31 08:12"
348,湖南张家界新增3例本土确诊,120,1108750,"2021-7-31 09:33"
349,云南新增境外输入确诊病例9例,32,466307,"2021-7-31 09:57"
35,6月30日前广州将再完成新一轮全员核酸,213,449341,"2021-6-26 13:04"
350,银川新增1例确诊病例,134,889346,"2021-7-31 10:19"
351,31省区市新增30例本土确诊,55,466464,"2021-7-31 10:29"
352,郑州新增1例无症状感染者,204,3468650,"2021-7-31 10:45"
353,湖南株洲新增8例无症状感染者,32,445013,"2021-7-31 11:10"
354,湖南新增本土确诊6例,70,1075985,"2021-7-31 11:15"
355,浙江疫情,40,917696,"2021-7-31 11:15"
356,福建新增1例本土确诊,33,629151,"2021-7-31 11:41"
357,南京市新增本土确诊病例6例,32,487042,"2021-7-31 11:50"
358,南京累计报告本土确诊190例,31,508501,"2021-7-31 12:07"
359,专家回应江苏近日重型病例增多情况,32,841410,"2021-7-31 12:17"
36,广州将建国际健康驿站代替隔离酒店,227,267522,"2021-6-26 14:58"
360,郑州新增无症状曾在产科就诊,133,598389,"2021-7-31 12:37"
361,南京新增2个中风险地区,32,570304,"2021-7-31 12:56"
362,江苏新增19例本土确诊,225,4784482,"2021-7-31 13:00"
363,郑州开展全员核酸检测,32,619025,"2021-7-31 13:04"
364,长沙新增阳性曾与北京确诊共同就餐,142,1816760,"2021-7-31 13:08"
365,扬州新增10例本土确诊,206,1268607,"2021-7-31 13:10"
366,南京市新冠肺炎感染者增至191例,33,679434,"2021-7-31 13:15"
367,进京无核酸证明将被劝返为假消息,41,885059,"2021-7-31 13:32"
368,南京8月初恢复第二针新冠疫苗接种,95,1773921,"2021-7-31 13:36"
369,湖北黄冈红安县一8岁男童核酸检测阳性,137,724666,"2021-7-31 13:52"
37,钟南山呼吁未成年人和老人加强疫苗接种,454,1689636,"2021-6-26 15:00"
